Tank,Population,Temperature,Selection,Generation ,Week,Age,Weight
1,HTC4,H,C,5,5,83,0.415
1,HTC4,H,C,5,5,83,0.672
1,HTC4,H,C,5,5,83,0.707
1,HTC4,H,C,5,5,83,0.339
1,HTC4,H,C,5,5,83,0.358
1,HTC4,H,C,5,5,83,0.541
1,HTC4,H,C,5,5,83,0.383
1,HTC4,H,C,5,5,83,0.556
1,HTC4,H,C,5,5,83,0.548
1,HTC4,H,C,5,5,83,0.548
1,HTC4,H,C,5,5,83,0.812
1,HTC4,H,C,5,5,83,0.567
1,HTC4,H,C,5,5,83,0.851
1,HTC4,H,C,5,5,83,0.436
2,LTC1,L,C,5,5,83,0.487
2,LTC1,L,C,5,5,83,0.53
2,LTC1,L,C,5,5,83,0.342
2,LTC1,L,C,5,5,83,0.587
2,LTC1,L,C,5,5,83,0.359
2,LTC1,L,C,5,5,83,0.445
2,LTC1,L,C,5,5,83,0.381
2,LTC1,L,C,5,5,83,0.668
2,LTC1,L,C,5,5,83,0.379
2,LTC1,L,C,5,5,83,0.397
2,LTC1,L,C,5,5,83,0.448
2,LTC1,L,C,5,5,83,0.272
2,LTC1,L,C,5,5,83,0.496
2,LTC1,L,C,5,5,83,0.832
2,LTC1,L,C,5,5,83,0.912
2,LTC1,L,C,5,5,83,0.515
2,LTC1,L,C,5,5,83,0.678
2,LTC1,L,C,5,5,83,0.442
2,LTC1,L,C,5,5,83,0.844
2,LTC1,L,C,5,5,83,0.483
3,HTC5,H,C,5,5,83,0.626
3,HTC5,H,C,5,5,83,0.54
3,HTC5,H,C,5,5,83,0.705
3,HTC5,H,C,5,5,83,0.515
3,HTC5,H,C,5,5,83,0.745
3,HTC5,H,C,5,5,83,0.798
3,HTC5,H,C,5,5,83,1.006
3,HTC5,H,C,5,5,83,0.592
3,HTC5,H,C,5,5,83,0.503
3,HTC5,H,C,5,5,83,0.492
3,HTC5,H,C,5,5,83,0.192
3,HTC5,H,C,5,5,83,0.716
3,HTC5,H,C,5,5,83,0.615
3,HTC5,H,C,5,5,83,0.591
3,HTC5,H,C,5,5,83,0.844
3,HTC5,H,C,5,5,83,0.598
3,HTC5,H,C,5,5,83,0.901
3,HTC5,H,C,5,5,83,0.37
3,HTC5,H,C,5,5,83,0.483
3,HTC5,H,C,5,5,83,0.674
4,LTC2,L,C,5,5,83,0.414
4,LTC2,L,C,5,5,83,0.376
4,LTC2,L,C,5,5,83,0.517
4,LTC2,L,C,5,5,83,0.85
4,LTC2,L,C,5,5,83,0.487
4,LTC2,L,C,5,5,83,0.406
4,LTC2,L,C,5,5,83,0.433
4,LTC2,L,C,5,5,83,0.526
4,LTC2,L,C,5,5,83,0.445
4,LTC2,L,C,5,5,83,0.458
4,LTC2,L,C,5,5,83,0.709
4,LTC2,L,C,5,5,83,0.358
4,LTC2,L,C,5,5,83,0.391
4,LTC2,L,C,5,5,83,0.299
4,LTC2,L,C,5,5,83,0.398
4,LTC2,L,C,5,5,83,0.38
4,LTC2,L,C,5,5,83,0.581
4,LTC2,L,C,5,5,83,0.551
4,LTC2,L,C,5,5,83,0.657
4,LTC2,L,C,5,5,83,0.371
5,LTC3,L,C,5,5,83,0.453
5,LTC3,L,C,5,5,83,0.663
5,LTC3,L,C,5,5,83,0.414
5,LTC3,L,C,5,5,83,0.679
